epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.0294,3.22996,7.10717,1.58547,0.37382,0.28228,0.25707,0.09955,2.493,23.5167,1.1184,0.000328502,0.000328502,0.000328502
2,27.6628,2.27927,2.28402,1.11621,0.58535,0.52211,0.52897,0.21023,2.22406,8.97369,1.05827,0.00065856,0.00065856,0.00065856
3,41.2569,2.14364,1.88877,1.06729,0.73207,0.62149,0.67824,0.26157,2.22165,2.34406,1.03653,0.000985317,0.000985317,0.000985317
4,54.969,2.12018,1.73116,1.06606,0.75957,0.68763,0.7171,0.26215,2.31938,1.4904,1.06784,0.00098515,0.00098515,0.00098515
5,69.3078,2.11549,1.63817,1.06038,0.79255,0.72941,0.78368,0.32014,2.01129,1.2747,0.97539,0.0009802,0.0009802,0.0009802
6,83.8102,2.03996,1.48371,1.0466,0.82408,0.75547,0.82868,0.37113,1.92741,1.22227,0.96398,0.00097525,0.00097525,0.00097525
7,98.4667,1.96712,1.41535,1.02818,0.91166,0.7843,0.87998,0.40159,1.87844,1.12131,0.95051,0.0009703,0.0009703,0.0009703
8,113.348,1.93176,1.32456,1.01273,0.91613,0.79277,0.87125,0.3917,1.90911,1.0911,0.9534,0.00096535,0.00096535,0.00096535
9,128.313,1.94646,1.29653,1.01627,0.86277,0.78967,0.85003,0.36909,1.94495,1.14663,0.96546,0.0009604,0.0009604,0.0009604
10,143.379,1.89849,1.28671,1.0148,0.89459,0.80643,0.87547,0.3945,1.91241,1.08228,0.96369,0.00095545,0.00095545,0.00095545
11,158.432,1.89167,1.24214,1.0055,0.94107,0.79866,0.89597,0.39846,1.89588,1.03559,0.95834,0.0009505,0.0009505,0.0009505
12,173.627,1.87276,1.23191,0.99983,0.89146,0.82235,0.89049,0.39366,1.89693,1.07283,0.9541,0.00094555,0.00094555,0.00094555
13,188.738,1.83393,1.21681,0.99294,0.9427,0.83073,0.89331,0.40658,1.88034,1.01636,0.93396,0.0009406,0.0009406,0.0009406
14,204.085,1.86156,1.20513,0.99701,0.9463,0.84509,0.89818,0.40635,1.90686,0.97867,0.95656,0.00093565,0.00093565,0.00093565
15,219.576,1.87516,1.17481,0.98932,0.93887,0.82131,0.8883,0.41166,1.8261,1.00862,0.93483,0.0009307,0.0009307,0.0009307
16,234.923,1.88439,1.17256,0.99984,0.86798,0.83512,0.87132,0.37704,1.957,1.11209,0.97281,0.00092575,0.00092575,0.00092575
17,250.066,1.81909,1.15693,0.99361,0.91749,0.87335,0.90515,0.42808,1.84396,0.9925,0.94721,0.0009208,0.0009208,0.0009208
18,265.46,1.77544,1.08614,0.97974,0.91613,0.85827,0.92276,0.42183,1.87483,0.95516,0.95706,0.00091585,0.00091585,0.00091585
19,280.769,1.76696,1.08559,0.97414,0.85258,0.85404,0.90171,0.42086,1.8212,0.95314,0.93388,0.0009109,0.0009109,0.0009109
20,296.088,1.74567,1.08048,0.97148,0.96433,0.86929,0.92639,0.46849,1.71733,0.90188,0.91074,0.00090595,0.00090595,0.00090595
21,311.62,1.72623,1.07526,0.97613,0.9412,0.8845,0.92948,0.46563,1.73474,0.88387,0.9205,0.000901,0.000901,0.000901
22,326.998,1.72679,1.01839,0.96778,0.92863,0.87765,0.9235,0.45112,1.80001,0.90419,0.93543,0.00089605,0.00089605,0.00089605
23,342.391,1.75156,1.02388,0.9764,0.94104,0.89769,0.93717,0.45897,1.75108,0.89338,0.92031,0.0008911,0.0008911,0.0008911
24,357.808,1.73547,1.06235,0.96037,0.95142,0.87186,0.92648,0.44127,1.76557,0.91946,0.92418,0.00088615,0.00088615,0.00088615
25,373.103,1.74613,1.02263,0.97012,0.9189,0.88331,0.92941,0.45156,1.76027,0.89096,0.93728,0.0008812,0.0008812,0.0008812
