epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.2396,3.2253,7.08644,1.5893,0.13783,0.40955,0.15995,0.07259,2.35114,inf,1.09764,0.000328502,0.000328502,0.000328502
2,27.674,2.27464,2.35398,1.12196,0.7626,0.54423,0.64018,0.25267,2.16999,1.78156,1.03197,0.00065856,0.00065856,0.00065856
3,41.0963,2.14529,1.89991,1.0692,0.76517,0.54342,0.67349,0.27963,2.05674,2.15445,1.01381,0.000985317,0.000985317,0.000985317
4,54.7935,2.13559,1.77644,1.06823,0.7654,0.70061,0.72415,0.26981,2.27986,1.56163,1.06027,0.00098515,0.00098515,0.00098515
5,68.9683,2.10117,1.58925,1.0521,0.70992,0.66928,0.70891,0.27874,2.08843,1.6714,0.9868,0.0009802,0.0009802,0.0009802
6,83.461,2.02332,1.49376,1.04656,0.83078,0.76018,0.82408,0.33889,2.06526,1.32366,0.99929,0.00097525,0.00097525,0.00097525
7,98.3473,2.00438,1.46517,1.03958,0.82983,0.69716,0.80199,0.35382,1.97077,1.27661,0.96555,0.0009703,0.0009703,0.0009703
8,113.215,1.95912,1.35444,1.0237,0.93566,0.78744,0.87228,0.39622,1.95165,1.0685,0.96008,0.00096535,0.00096535,0.00096535
9,128.509,1.89757,1.2903,1.0107,0.87496,0.76251,0.84415,0.37756,1.94237,1.23201,0.96474,0.0009604,0.0009604,0.0009604
10,143.647,1.88784,1.28214,1.0091,0.89015,0.77885,0.87296,0.39939,1.87794,1.19722,0.94219,0.00095545,0.00095545,0.00095545
11,158.777,1.86647,1.20986,1.00901,0.92565,0.83829,0.88354,0.38276,1.94686,1.04517,0.96489,0.0009505,0.0009505,0.0009505
12,173.99,1.89816,1.23249,1.00512,0.8626,0.81504,0.88741,0.40081,1.87208,1.10133,0.93488,0.00094555,0.00094555,0.00094555
13,189.33,1.85657,1.21997,0.99829,0.90665,0.82585,0.85439,0.3173,2.18438,1.09731,1.02958,0.0009406,0.0009406,0.0009406
14,204.647,1.84202,1.15124,0.99965,0.93622,0.85599,0.91225,0.45257,1.78046,0.95324,0.924,0.00093565,0.00093565,0.00093565
15,219.88,1.83316,1.18047,0.98496,0.95462,0.82356,0.90622,0.42673,1.82318,1.02784,0.93685,0.0009307,0.0009307,0.0009307
16,235.221,1.87174,1.15734,0.9981,0.93757,0.83903,0.8977,0.42254,1.82261,1.1875,0.93589,0.00092575,0.00092575,0.00092575
17,250.524,1.81939,1.15595,0.99308,0.95232,0.84216,0.91221,0.4525,1.77201,0.93883,0.92831,0.0009208,0.0009208,0.0009208
18,265.883,1.78008,1.07471,0.97954,0.9175,0.83897,0.9012,0.43534,1.80198,0.96444,0.93798,0.00091585,0.00091585,0.00091585
19,280.985,1.77979,1.1135,0.97738,0.87413,0.82828,0.91212,0.4399,1.80827,1.01259,0.9387,0.0009109,0.0009109,0.0009109
20,296.365,1.77645,1.08724,0.98009,0.94689,0.87323,0.92108,0.45944,1.75792,0.88313,0.92493,0.00090595,0.00090595,0.00090595
